#Temperature (K) densities in kg/m^3
#source http://pages.uoregon.edu/rjd/table.htm (Russel J.Donnelly) up to 2.1K
#source http://webbook.nist.gov/chemistry/fluid/ from 2.1K 
#the data point for P=5atm and T=2.1K is added manually
#P(atm)	SVP	2.5	5
4.8165	109.29	119.36	132.34
4.8306	108.76	118.92	132.11
4.8447	108.21	118.48	131.88
4.8588	107.64	118.03	131.65
4.873	107.06	117.56	131.42
4.8871	106.46	117.09	131.19
4.9012	105.84	116.6	130.95
4.9153	105.2	116.1	130.72
4.9294	104.54	115.59	130.48
4.9435	103.86	115.07	130.24
4.9577	103.15	114.53	129.99
4.9718	102.41	113.97	129.75
4.9859	101.63	113.4	129.5
5	100.83	112.81	129.25
